AREAKEY,TRCTPOP1,MDFAMY1A,MDVALHS1A
36005032600,3154,73636,482700
36005032800,3979,48107,495300
36005033000,5696,51096,450500
36005033201,4115,65625,178900
36005033202,4167,26471,308100
36005033400,1351,28846,343800
36005033500,2178,122275,378800
36005033600,6188,31115,159800
36005033700,2357,118333,617600
36005033800,3818,49625,431100
36005034000,4618,42885,464600
36005034200,1675,73558,415900
36005034300,1649,77054,571800
36005034400,1736,48173,402300
36005034500,3566,84755,374500
36005034800,6129,50474,408100
36005035000,1925,68906,415900
36005035100,3186,113889,327200
36005035600,2027,81228,486300
36005035800,7166,72665,426700
36005035900,2061,23945,460900
36005036000,2706,83523,469500
36005036100,6019,18929,348500
36005036300,7509,23356,284000
36005036400,2557,70192,395300
36005036501,3965,33182,340900
36005036502,2423,31650,462100
36005036700,2599,23384,497400
36005036800,2011,66694,337600
36005036901,2005,18482,0
36005036902,2119,43917,1000001
36005037000,2303,69352,415700
36005037100,4241,24447,353800
36005037200,2222,63375,376100
36005037300,5318,27905,315400
36005037400,3441,21895,475000
36005037504,3677,24821,333300
36005037600,2148,54706,453900
36005037800,3048,42907,419200
36005037900,5093,23511,356500
36005038000,4585,39470,262500
36005038100,6382,33911,418100
36005038200,2596,47634,430100
36005038301,4797,27788,346200
36005038302,6106,22083,0
36005038500,4758,26250,518600
36005038600,7409,45716,439700
36005038700,3216,32188,380500
36005038800,2606,65345,388900
36005038900,5325,29144,444800
36005039000,2975,35833,442000
36005039100,6992,21308,455100
36005039200,1781,64526,439300
36005039300,8143,18898,615000
36005039400,4573,51172,425000
36005039500,4146,37537,361400
36005039600,3756,45750,369700
36005039700,3702,19662,0
36005039800,3090,62530,397300
36005039901,5228,18688,436500
36005039902,5279,25481,275000
36005040100,4593,33906,382100
36005040302,4386,21372,0
36005040303,4478,29980,320000
36005040304,3794,38333,330500
36005040400,3016,60486,452500
36005040501,4397,32454,419400
36005040502,6863,28175,360300
36005040600,3490,55114,426900
36005040701,3347,28438,0
36005040702,6652,41201,342300
36005040800,4263,41010,431900
36005040900,3637,54886,33000
36005041100,2931,45490,164800
36005041300,7384,44265,169300
36005041400,5027,48960,414700
36005041500,5461,39773,407600
36005041800,3598,47569,450800
36005041900,6734,36250,248100
36005042000,3850,62560,374200
36005042100,5922,46133,146700
36005042200,3086,39286,411700
36005042300,4100,42407,475000
36005042400,2481,71806,358700
36005042500,6793,31194,476900
36005042600,6387,68684,464000
36005042800,2173,81411,403200
36005042901,3420,29688,311100
36005042902,3845,34479,365600
36005043000,2898,54621,393400
36005043100,9680,37113,311300
36005043400,3592,48737,493000
36005043500,39,0,312500
36005043600,2032,57713,363400
36005044200,3555,44235,373600
36005044400,3878,73664,405100
36005044800,2026,92515,385400
36005044901,1818,88015,425000
36005044902,1949,92371,439100
36005045101,1656,57214,386500
36005045102,1894,92600,435400
36005045600,2896,75946,473000
36005045800,6123,27313,0
36005046000,2741,39129,374300
36005046201,26588,65925,70300
36005046202,8277,45682,388400
36005048400,3598,73700,408900
36005050400,39,0,0
36005051600,4362,72109,578600
36047000100,4338,127330,457000
36047000200,1470,68661,481500
36047000301,4259,227143,807100
36047000501,4247,138917,494900
36047000502,2512,129167,554700
36047000700,3359,173393,1000001
36047000900,4172,177863,626000
36047001100,84,73269,0
36047001300,2275,133426,366500
36047001500,3521,51125,569300
36047001800,2105,0,0
36047002000,1672,31791,504100
36047002100,3604,172973,910500
36047002200,4613,47361,413300
36047002300,4247,20476,108500
36047002901,3218,10558,0
36047003000,1730,72500,567800
36047003100,2472,70938,354300
36047003300,2327,113056,888900
36047003400,3047,97518,611600
36047003500,1554,64957,1000001
36047003600,3804,68854,298900
36047003700,390,37056,0
36047003800,1498,100991,651900
36047003900,2229,119625,768400
36047004100,3598,180613,1000001
36047004300,3008,166125,749000
36047004400,2359,125242,845200
36047004500,3325,151993,993200
36047004600,1199,115694,1000001
36047004700,1445,114583,702800
36047004900,2516,126146,1000001
36047005000,2276,93250,835200
36047005100,2171,80240,509400
36047005201,1829,74643,701300
36047005202,2481,74946,361600
36047005300,1888,56273,458800
36047005400,3139,77045,504800
36047005601,2505,71316,264500
36047005602,1586,60682,309700
36047005800,3152,66136,633900
36047005900,1384,55864,496400
36047006000,2826,95972,576900
36047006200,2853,85875,706100
36047006300,1892,99479,617200
36047006400,3478,56131,811200
36047006500,5191,102500,991600
36047006600,3663,51653,575900
36047006700,3301,133333,1000001
36047006800,4870,43375,635200
36047006900,3537,113682,952400
36047007000,2344,71989,606300
36047007100,4495,38632,941200
36047007200,1946,37167,0
36047007400,5451,31225,611600
36047007500,4383,110696,1000001
36047007600,4412,42976,650000
36047007700,3901,120481,861400
36047007800,5068,39712,576300
36047008000,4169,26763,596100
36047008200,4141,44327,790100
