AREAKEY,TRCTPOP9,MDFAMY9,MDVALHS9,TRCTPOP0,MDFAMY0,MDVALHS0,TRCTPOP1,MDFAMY1A,MDVALHS1A
36005016600,1663,52148,192400,1760,51657,210900,2166,87031,432400
36005016700,954,7955,67500,1821,13295,75000,2047,37841,0
36005016900,913,7572,0,1852,20653,225000,1663,26389,355800
36005017100,1945,45261,0,4,0,0,0,0,0
36005017300,5539,15186,63600,4842,24516,143800,5987,23307,352600
36005017500,6263,16144,0,6466,18301,0,6911,17328,0
36005017701,2390,14611,128600,3499,18170,162000,4294,17127,517900
36005017702,3156,14611,128600,4620,18170,162000,4805,22405,384800
36005017901,3319,15115,0,4090,16630,350000,4677,30455,586400
36005017902,3356,15115,0,4135,16630,350000,3587,31288,0
36005018101,3264,23020,137500,3813,23779,156300,3300,34092,454800
36005018102,4074,23020,137500,4760,23779,156300,5555,38158,559500
36005018301,2712,23361,36300,3155,31635,225000,4525,33661,166700
36005018302,4487,23361,36300,5222,31635,225000,3647,38685,148900
36005018400,3489,42848,181300,3728,51507,192900,3855,65643,463700
36005018500,3950,8926,39110,4777,24781,220091,7466,27704,411500
36005018900,5266,15595,112500,6918,24382,49200,7752,35893,232500
36005019300,4775,11454,6442,5596,16077,2817,5461,17816,226100
36005019400,1496,34736,160461,1596,57969,185983,1903,42903,447800
36005019500,6509,21325,0,7327,22049,0,7756,40220,237500
36005019700,5957,11494,137500,7754,22273,1000001,7501,25198,204400
36005019900,5793,13164,27500,7880,23680,262500,8154,30599,470700
36005020000,3454,29537,148762,3944,32725,193064,4878,35467,464500
36005020100,2417,12847,37500,3330,23438,0,4013,27813,9999
36005020200,1645,36677,156600,1823,36853,183300,2155,41406,509500
36005020400,2542,31597,165700,2884,41500,198700,2976,42348,511800
36005020501,5258,17039,163780,5589,23431,147054,6996,30496,480600
36005020502,3772,17234,168800,3968,23431,152900,1764,26818,415700
36005020601,2073,41875,172500,2321,40658,194500,3050,55568,464700
36005020900,4067,16789,0,4838,20873,0,4361,32744,0
36005021001,6473,34241,0,8328,35507,75000,8521,50697,131700
36005021002,5812,34241,0,7476,35507,75000,6839,55198,121800
36005021100,3402,10640,80328,4584,18314,131055,5565,32436,0
36005021200,5529,36745,184400,5232,37765,0,5267,52891,124100
36005021301,1089,8159,0,1502,14816,206800,1201,22063,625000
36005021302,2510,7369,22500,3970,24444,225000,5415,30262,474600
36005021501,4106,7300,0,3690,19886,0,3506,30735,427400
36005021502,4725,7260,0,6726,16445,0,6051,26135,159800
36005021601,3931,23580,128100,4460,33214,214300,4206,29821,141200
36005021602,4583,35969,134700,5107,35784,243800,5769,50044,122800
36005021700,4267,11845,87500,4797,18281,0,5334,17281,267300
36005021800,6619,26096,225600,6648,28508,187500,6499,35364,433300
36005021900,1157,10619,0,1279,22798,0,1367,40625,0
36005022000,1102,17419,87500,1393,16932,0,1487,14600,489100
36005022101,3333,15881,0,3908,20396,137500,3849,27880,0
36005022102,3866,15881,0,4534,20396,137500,5488,21368,225000
36005022200,2559,34922,125412,3078,33931,189200,3425,29836,373900
36005022300,4274,16451,0,5270,20698,0,5047,29210,0
36005022401,2287,36056,0,2546,32335,0,2708,35270,139300
36005022403,3508,31322,0,4089,33958,0,3188,44787,105400
36005022404,2606,31322,0,3038,33958,0,4509,50357,110300
36005022500,6866,17214,0,6945,20755,225000,7698,31921,466700
36005022701,3950,14632,0,2984,17977,184880,5196,35043,441300
36005022702,1567,16873,10444,2077,19656,13218,1699,53201,0
36005022703,1805,22637,11658,1767,25498,110417,1556,37734,0
36005022800,5120,34933,185180,5788,38906,162524,6218,46418,462700
36005022901,5056,16148,118100,5546,23925,91400,5370,30167,0
36005022902,2932,12902,77139,3324,21558,166826,3273,19306,0
36005023000,2379,30030,173200,2877,30724,176800,2950,52622,471400
36005023100,1353,15855,0,1580,15294,132400,1537,26950,0
36005023200,2051,33144,166800,2305,33382,182100,2661,62361,419900
